year,region,anomaly_c
1924,Southern Hemisphere,0.10950315608681471
1925,Southern Hemisphere,0.25649934414899
1926,Southern Hemisphere,0.1446205486871861
1927,Southern Hemisphere,0.08504248448525864
1928,Southern Hemisphere,0.19986115822677597
1929,Southern Hemisphere,0.43713687791387024
1930,Southern Hemisphere,0.2558169439813529
1931,Southern Hemisphere,0.06975733842184262
1932,Southern Hemisphere,0.22045558963055356
1933,Southern Hemisphere,0.3045526538813448
1934,Southern Hemisphere,0.2650837822998309
1935,Southern Hemisphere,0.4263670302390121
1936,Southern Hemisphere,0.3465965865093992
1937,Southern Hemisphere,0.4965772374158792
1938,Southern Hemisphere,0.4426880896937124
1939,Southern Hemisphere,0.21978064171636902
1940,Southern Hemisphere,0.23169714163706523
1941,Southern Hemisphere,0.2831675764002046
1942,Southern Hemisphere,0.291707553461066
1943,Southern Hemisphere,0.26571140099673585
1944,Southern Hemisphere,0.25215438894058906
1945,Southern Hemisphere,0.22500512278051588
1946,Southern Hemisphere,0.37328678045820674
1947,Southern Hemisphere,0.4446843507545122
1948,Southern Hemisphere,0.5407145620348768
1949,Southern Hemisphere,0.45587297965531093
1950,Southern Hemisphere,0.30870748855568486
1951,Southern Hemisphere,0.21545315241464102
1952,Southern Hemisphere,0.13965255177184588
1953,Southern Hemisphere,0.3505457932408351
1954,Southern Hemisphere,0.26532556334102786
1955,Southern Hemisphere,0.24894049566477428
1956,Southern Hemisphere,0.39970812576860304
1957,Southern Hemisphere,0.4778700596739629
1958,Southern Hemisphere,0.270011024927717
1959,Southern Hemisphere,0.2637697325759589
1960,Southern Hemisphere,0.1637547443093812
1961,Southern Hemisphere,0.4036529654762848
1962,Southern Hemisphere,0.5007016158094597
1963,Southern Hemisphere,0.277304029989466
1964,Southern Hemisphere,0.15070534755554554
1965,Southern Hemisphere,0.318985572001651
1966,Southern Hemisphere,0.31165780202940674
1967,Southern Hemisphere,0.23436358257526102
1968,Southern Hemisphere,0.3165397735207591
1969,Southern Hemisphere,0.33372208646893853
1970,Southern Hemisphere,0.36847569788217527
1971,Southern Hemisphere,0.3196276563297147
1972,Southern Hemisphere,0.3674211274169128
1973,Southern Hemisphere,0.24738724453217031
1974,Southern Hemisphere,0.24140201595356814
1975,Southern Hemisphere,0.10086005904455675
1976,Southern Hemisphere,0.24395042730144922
1977,Southern Hemisphere,0.28608142541373205
1978,Southern Hemisphere,0.178449328603838
1979,Southern Hemisphere,0.18420768540291554
1980,Southern Hemisphere,0.2917879085243893
1981,Southern Hemisphere,0.4244371395974298
1982,Southern Hemisphere,0.4494325617003625
1983,Southern Hemisphere,0.6619102571559932
1984,Southern Hemisphere,0.5034255057092505
1985,Southern Hemisphere,0.6279074276010146
1986,Southern Hemisphere,0.659987653752296
1987,Southern Hemisphere,0.5695768284347675
1988,Southern Hemisphere,0.7331641341577129
1989,Southern Hemisphere,0.7207887791358747
1990,Southern Hemisphere,0.6516067818526619
1991,Southern Hemisphere,0.5666070859723273
1992,Southern Hemisphere,0.6608001019526473
1993,Southern Hemisphere,0.7370509925199897
1994,Southern Hemisphere,0.8851823610771277
1995,Southern Hemisphere,0.8386363566514916
1996,Southern Hemisphere,0.6565485041787653
1997,Southern Hemisphere,0.7471992305942763
1998,Southern Hemisphere,0.8691760754473545
1999,Southern Hemisphere,0.7893364847003568
2000,Southern Hemisphere,0.9481014232763219
2001,Southern Hemisphere,1.0068813261181955
2002,Southern Hemisphere,0.9034714087900806
2003,Southern Hemisphere,0.8816134587191513
2004,Southern Hemisphere,1.0983849635795764
2005,Southern Hemisphere,1.167718399736268
2006,Southern Hemisphere,0.8889129824693516
2007,Southern Hemisphere,1.0729150435378045
2008,Southern Hemisphere,1.1652968915883761
2009,Southern Hemisphere,0.836908740924228
2010,Southern Hemisphere,0.9275473122350064
2011,Southern Hemisphere,0.9893976286688755
2012,Southern Hemisphere,1.2940681504967468
2013,Southern Hemisphere,1.410668570005372
2014,Southern Hemisphere,1.147862232360696
